title,synopsis,genre_id
The 7th Saga,Difficult RPG with turn-based battles and multiple playable characters.,
The Addams Family,Platformer where Gomez rescues family members from a haunted mansion.,
The Addams Family: Pugsley's Scavenger Hunt,"Platformer starring Pugsley in quirky, creepy levels.",
The Adventures of Batman & Robin,Action-platformer with stylized visuals from the animated series.,
The Adventures of Dr. Franken,Platformer where a reanimated monster searches for body parts.,
The Adventures of Kid Kleets | Soccer Kid,Platformer where you use a soccer ball to defeat enemies and solve puzzles.,
The Adventures of Mighty Max,Action-platformer based on the toy line and animated series.,
The Adventures of Rocky and Bullwinkle and Friends,Classic cartoon characters in a clunky platformer.,
The Adventures of Tintin: Prisoners of the Sun,Puzzle-platformer based on the comic; explore Peru and solve mysteries.,
The Amazing Spider-Man: Lethal Foes,Action-platformer where Spidey battles villains from his rogues' gallery.,
The Atlas: Renaissance Voyager,Educational adventure exploring history and world geography.,
B.O.B.,Run-and-gun platformer where you play as a sarcastic robot stranded on alien worlds.,
Battle Robot Retsuden,Tactical RPG featuring mechs from various anime franchises.,
Battle Soccer 2,Crossover soccer game with robots and superheroes.,
Battle Soccer: Field no Hasha,"Wild soccer matches featuring Ultraman, Gundam, and Kamen Rider.",
Battle Submarine,Submarine simulator with strategic underwater combat.,
Battle Tycoon: Flash Hiders SFX,1v1 fighting game with RPG-style story progression.,
Battle Zeque Den,Stylish action-platformer with a female protagonist and supernatural enemies.,
Battletoads and Double Dragon: The Ultimate Team,Crossover beat-’em-up with co-op chaos and challenging gameplay.,
Battletoads in Battlemaniacs,Fast-paced beat-’em-up with colorful visuals and brutal difficulty.,
Bazooka Blitzkrieg,Super Scope rail shooter against robot armies.,
Beauty and the Beast,Platformer based on the Disney film; play as the Beast.,
Beavis and Butt-Head,Crude humor platformer based on the MTV cartoon.,
Bebe's Kids,Side-scrolling brawler set in an amusement park; infamous for poor controls.,
Beethoven's 2nd,Platformer where you help the St. Bernard rescue his puppies.,
Benkei Gaiden - Suna no Shou,Historical RPG with turn-based battles and folklore themes.,
Best of the Best: Championship Karate,Karate fighting sim focused on realistic techniques and training.,
Best Shot Pro Golf,Golf simulation game with a focus on professional gameplay mechanics.,
Big Ichigeki! Pachi-Slot Daikouryaku,Pachislot simulation with casino-style gameplay.,
Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection,Sequel with more slot machines and themes.,
Big Sky Trooper,Sci-fi action-RPG where you fight aliens and manage a space fleet.,
Bike Daisuki! Hashiriya Tamashii - Rider Spirits,Realistic motorcycle racing sim with licensed bikes.,
Biker Mice From Mars,"Top-down racer with combat, based on the cartoon.",
Bill Laimbeer's Combat Basketball,Futuristic basketball with full-contact rules and chaos.,
Bill Walsh College Football,College football sim with real teams and playbooks.,
Bing Bing! Bingo,Bingo-themed party game with colorful visuals.,
Bio Metal,Side-scrolling shooter with power-ups and a heavy techno soundtrack.,
Bishin Densetsu Zoku - The Legend of Bishin,Post-apocalyptic beat-’em-up with vehicle combat and female leads.,
Bishoujo Janshi Suchie-Pai,Mahjong game with anime-style girls and story scenes.,
Bishoujo Senshi Sailor Moon,Beat-’em-up based on the original Sailor Moon anime.,
Bishoujo Senshi Sailor Moon R,Sequel with new characters and smoother combat.,
Bishoujo Senshi Sailor Moon S: Jougai Rantou! Shuyaku Soudatsusen,2D fighter featuring Sailor Scouts.,
Bishoujo Senshi Sailor Moon S: Kondo ha Puzzle de Oshiokiyo!,Puzzle game with Sailor Moon characters.,
Bishoujo Senshi Sailor Moon S: Kurukkurin,Puzzle-action game with a spinning board mechanic.,
Bishoujo Senshi Sailor Moon Sailor Stars: Fuwa Fuwa Panic 2,Bubble-popping game with cute anime visuals.,
Bishoujo Senshi Sailor Moon Super S: Fuwa Fuwa Panic,Balloon-based puzzle action with Sailor Scouts.,
Bishoujo Senshi Sailor Moon SuperS: Zenin Sanka! Shuyaku Soudatsusen,Fighting game featuring full Sailor team roster.,
Bishoujo Senshi Sailor Moon: Another Story,Full-scale RPG with a unique story and original villains.,
Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!!,Wrestling game with anime-style female fighters.,
Blackthorne,Cinematic platformer with a dark sci-fi setting and shotgun combat.,
Blanco World Class Rugby,Realistic rugby simulation game with full teams and rules.,
BlaZeon: The Bio-Cyborg Challenge,Horizontal shooter where you can capture and control enemy robots.,
Blazing Skies,WWI-style dogfighting game with mission-based aerial combat.,
Block Kuzushi,Arkanoid-style brick breaker with Japanese themes.,
Bomberman B-Daman,Mix of Bomberman and marble-shooting B-Daman mechanics.,
Bombuzal,Puzzle game where you strategically blow up tiles to clear stages.,
Bonkers,Platformer based on the Disney cartoon; comedic cop-themed gameplay.,
Boogerman: A Pick and Flick Adventure,Gross-out platformer with burp and fart attacks.,
Bounty Sword,Tactical RPG with real-time battles and a dark fantasy story.,
Boxing Legends of the Ring,Realistic boxing game with famous fighters and career mode.,
Brain Lord,"Action RPG with dungeons, puzzles, and real-time combat.",
Bram Stoker's Dracula,Platformer with gothic horror visuals based on the 1992 film.,
Brandish,Top-down dungeon crawler with rotating view and real-time combat.,
Brandish 2 Expert,Harder version of Brandish 2 with more challenging enemies and puzzles.,
Brandish 2: The Planet Buster,Sequel to Brandish with improved visuals and deeper story.,
BreakThru!,Arcade-style driving game where you crash through enemy lines.,
Breath of Fire,Classic JRPG where you play a dragon warrior in a fantasy world.,
Breath of Fire II,"Sequel with darker themes, new characters, and an expanded world.",
Brett Hull Hockey,NHL-style hockey sim featuring Brett Hull; basic graphics and controls.,
Brett Hull Hockey 95,Updated version with improved AI and new season mode.,
Bronkie the Bronchiasaurus,Educational platformer teaching asthma awareness through gameplay.,
Brunswick World Tournament of Champions,Realistic bowling sim with real-life tournaments.,
Brutal: Paws of Fury,Fighting game starring anthropomorphic martial artist animals.,
BS F-Zero Grand Prix 2: Practice,Expansion to F-Zero with new tracks released via Satellaview.,
BS Fire Emblem: Akaneia Senkihen,Satellaview Fire Emblem side stories with classic tactical gameplay.,
BS Super Aleste,Enhanced shooter levels for Super Aleste available through Satellaview.,
BS Super Mario USA: Power Challenge,Satellaview version of Super Mario Bros. 2 with challenges.,
BS Sutte Hakkun Version 2,Puzzle platformer where you absorb and shoot colors to solve stages.,
BS The Legend of Zelda,Broadcast remake of the original Zelda with new features.,
BS The Legend of Zelda: Ancient Stone Tablets,Satellaview-exclusive sequel with episodic content.,
Bubsy II,Sequel to Bubsy with new gadgets and more chaotic level design.,
Bubsy in Claws Encounters of the Furred Kind,Mascot platformer with fast gameplay and quirky humor.,
Bugs Bunny: Rabbit Rampage,Looney Tunes platformer where Bugs faces enemies from various cartoons.,
Bulls vs Blazers and the NBA Playoffs,Early NBA sim featuring real teams and playoff matchups.,
Burai - Hachigyoku no Yuushi Densetsu,Fantasy RPG with multiple protagonists and intertwining storylines.,
Bushi Seiryuuden: Futari no Yuusha,Turn-based RPG with two heroes and traditional Japanese fantasy.,
Bust-A-Move,Addictive puzzle game where you match colored bubbles to clear the screen.,
Cacoma Knight in Bizyland,Territory-claiming action-puzzle game with cute visuals.,
Cal Ripken Jr. Baseball,Baseball sim featuring real players and teams; solid but simple.,
California Games II,Compilation of extreme sports mini-games like surfing and skateboarding.,
Cannon Fodder,Tactical shooter with small soldiers and a dark sense of humor.,
Cannondale Cup,Futuristic bicycle racing game with power-ups and obstacles.,
Capcom's MVP Football,American football game with coaching and play-by-play features.,
Capcom's Soccer Shootout,Soccer sim with both arcade and simulation gameplay modes.,
Captain America and the Avengers,Side-scrolling beat-’em-up with Marvel superheroes.,
Captain Commando,Futuristic beat-’em-up from Capcom with quirky characters.,
Captain Novolin,Platformer where you play a diabetic superhero teaching health awareness.,
Captain Tsubasa III: Koutei no Chousen | Challenge of the Kaiser,Soccer RPG with cinematic moves and story elements.,
Captain Tsubasa IV: Pro no Rival Tachi,Sequel with new rivals and more dramatic soccer gameplay.,
Captain Tsubasa J: The Way to World Youth,Follows the anime’s storyline; soccer RPG with flashy action.,
Captain Tsubasa V: Hasha no Shougou Canpione,Final SNES entry with upgraded visuals and team customization.,
Caravan Shooting Collection,Compilation of short high-score shooting games.,
Carrier Aces,Flight combat sim where you pilot WWII aircraft in naval missions.,
Casper,Puzzle-platformer based on the movie; play as the friendly ghost.,
Castlevania: Dracula X | Castlevania: Vampire's Kiss,Challenging platformer with gothic horror and iconic bosses.,
CB Chara Wars: Ushinawareta Gag,Bizarre crossover action game featuring super-deformed anime characters.,
Champions - World Class Soccer,Soccer sim with multiple teams and international gameplay.,
Championship Pool,Billiards game featuring different pool variants and trick shots.,
The Blue Crystal Rod,Adventure-puzzle game with item-based progression and fantasy themes.,
The Blues Brothers,Platformer based on the musical duo; collect instruments and escape police.,
The Brainies,Puzzle game where you move creatures across grid-based mazes under time pressure.,
Championship Soccer '94 | Sensible Soccer: European Champions,Fast-paced top-down soccer sim with international teams.,
Chaos Seed: Fuusui Kairoki,Strategy sim where you conquer lands with feng-shui magic in a mythical world.,
Chester Cheetah: Too Cool to Fool,Side-scrolling platformer with cartoon cool-guy fun and fast gameplay.,
Chester Cheetah: Wild Wild Quest,Adventure-style platformer with quirky puzzles and urban environments.,
Chibi Maruko-chan: Harikiri 365-nichi no Maki,Slice-of-life adventure game based on the popular manga episodes.,
Chibi Maruko-chan: Mezase! Minami no Island!!,Exploration game where Maruko visits a tropical island for mini-games.,
Chinhai,Martial arts fighter featuring close-up sprite action and combo moves.,
Cho Aniki: Bakuretsu Rantou Hen,Absurd side-scrolling shooter with muscular heroes and bizarre power-ups.,
Choplifter III,Rescue and helicopter combat game with side-scrolling action and strategic elements.,
Chou Mahou Tairiku WOZZ,Magical adventure game with puzzle-platforming and charm.,
Choujikuu Yousai Macross: Scrambled Valkyrie,Shoot-’em-up based on Macross mecha anime—fly variable fighters and battle aliens.,
Chrono Trigger,"Legendary time-travel JRPG with engaging story, multiple endings, and beloved characters.",
Chuck Rock,Prehistoric platformer with humorous stone-age antics and rock-smashing gameplay.,
Classic Road,Retro arcade racing with blocky graphics and fast-paced time trials.,
Classic Road II,"Sequel with new tracks, improved handling, and vintage car variety.",
Clay Fighter,Quirky fighting game with claymation-style characters and exaggerated moves.,
Clay Fighter 2: Judgment Clay,Sequel with new battling clay characters and enhanced animation.,
Clay Fighter: Tournament Edition,Tournament-ready version with refined fighters and modes.,
Claymates,Platformer starring clay-formed animals with shape-shifting gameplay mechanics.,
Cliffhanger,Action-platformer based on the Stallone movie; rescue missions in treacherous terrain.,
Clock Tower,Early survival horror with point-and-click mechanics and eerie atmosphere.,
Clockwerx,Puzzle-action hybrid with rotating tiles and time-based challenges.,
Clue: Parker Brothers' Classic Detective Game,Digital take on the board game—solve the murder with logic and deduction.,
College Football USA 97: The Road to New Orleans,College football sim that leads your team to the national championship.,
College Slam,Arcade basketball with over-the-top dunks and street-court flair.,
Columns,Addictive match-3 puzzle game with colorful gems and chain reactions.,
Computer Nouryoku Kaiseki - Ultra Baken,Japanese puzzle game testing logic and pattern recognition.,
Congo's Caper,Cartoon-themed platformer with rope swings and jungle adventure.,
Contra III: The Alien Wars | Super Probotector: Alien Rebels,Iconic run‑and‑gun action with frenetic levels and co-op mayhem.,
Conveni Wars Barcode Battler Senki - Super Senshi Shutsugeki seyo!,Barcode-based game where scanning cards evokes robot warriors in battles.,
Cool Spot,Platformer starring the 7-Up mascot with slick style and tricky levels.,
Cool World,"Platform-puzzler based on the film, blending animated and real-world environments.",
Coron Land,Children’s party game collection with minigames and cute characters.,
Cosmo Gang: The Puzzle,Puzzle game with Tetris-style mechanics and cute UFO aliens.,
Cosmo Gang: The Video,Arcade shooter with whimsical enemies and colorful 2D action.,
Cosmo Police Galivan II: Arrow of Justice,Side scrolling shoot-em-up with mecha-police action.,
Cotton 100%: Märchen Adventure,Cute ’em up shooter starring a witch flying through fairy tale worlds.,
Crash Dummy - Dr. Zabu o Sukuidase,Side-scrolling mashup with destructive toy robots and slapstick action.,
Crayon Shin-chan 2: Daimaou no Gyakushuu,Action-adventure starring the mischievous boy in cartoon chaos.,
Crayon Shin-chan: Arashi wo yobu Enji,Cartoon beat-’em-up based on anime episodes with slapstick fights.,
Crayon Shin-chan: Nagagutsu Dobon!!,Water-themed platformer where Shin‑chan navigates flood-filled levels.,
Crystal Beans From Dungeon Explorer,Enhanced dungeon crawler with richer visuals and deeper RPG elements.,
Cu-On-Pa SFC,Card battle simulation game with collectible warriors and strategic duels.,
Cutthroat Island,Action-adventure pirate game with treasure hunting and swashbuckling combat.,
Cyber Knight,Sci-fi RPG with spaceship exploration and strategic mech combat.,
Cyber Knight II,Sequel with expanded sci-fi universe and deeper tactical gameplay.,
Cyber Spin,Futuristic racing with hovering cars on neon tracks.,
Cybernator | Assault Suits Valken,Mech action-platformer with tough bosses and intense shootouts.,
Cyborg 009,Action game based on the anime with cyborg team superpowers.,
D-Force,Side-scrolling shooter set against a global terrorist threat.,
Daffy Duck: The Marvin Missions,Cartoon platformer where Daffy saves the world from Marvin the Martian.,
Daibakushou Jinsei Gekijou - 0,Japanese comedy sim game exploring adult life misadventures.,
Daibakushou Jinsei Gekijou - Dokidoki Seishun Hen,Slice-of-life sim focusing on youthful antics and choices.,
Daibakushou Jinsei Gekijou - Ooedo Nikki,Historical life sim set in Edo-era Japan; quirky daily life events.,
Daibakushou Jinsei Gekijou - Zukkoke Salaryman Hen,Humorous sim where you survive as a salaryman in Tokyo’s bustle.,
Daikaijuu Monogatari,Monster-raising RPG where you manage and battle colossal creatures.,
Daikaijuu Monogatari II,"Sequel with deeper monster raising, new regions, and richer storyline.",
Daisenryaku Expert,Military strategy sim with detailed unit control and global warfare.,
Daisenryaku Expert WWII: War in Europe,Historical World War II strategy covering Europe with operative planning.,
Darius Twin,Side-scrolling shooter in the Darius series with branching levels and aquatic mechs.,
Dark Half,Horror adventure with surreal visuals and psychological thriller elements.,
Dark Kingdom,Action RPG with dark fantasy tone and gritty combat.,
Dark Law: Meaning of Death,Side-scrolling beat‑’em‑up with supernatural themes and dark atmosphere.,
Date Kimiko no Virtual Tennis,Tennis sim starring Japanese pro Kimiko Date with realistic swing mechanics.,
David Crane's Amazing Tennis,Tennis arcade game with exaggerated moves and humorous animations.,
Daze Before Christmas,Holiday platformer where you deliver presents and fight off toy enemies.,
Dead Dance,Rhythm‑dance game with ghoulish dancers and up‑beat tracks.,
Deae Tonosama Appare Ichiban,Light RPG set in comedic Edo-era Japan focused on quirky storytelling.,
Dear Boys,Sports visual novel with basketball storytelling and team drama.,
Death Brade,Fantasy side-scrolling action with swordplay in dark medieval world.,
Dekitate High School,"School sim where you manage classrooms, students, and school events.",
Demolition Man,Action-platformer based on the movie; run and gun through dystopian cityscapes.,
Demon's Crest,Gothic platformer where you control a demon navigating gothic castles with powers.,
Dennis the Menace,Platformer based on the comic strip; navigate suburban dangers with Dennis’s slingshot.,
Derby Jockey - Kishu Ou e no Michi,Horse racing sim where you train and ride a champion from the stables to the track.,
Derby Jockey 2,Enhanced sequel with more races and deeper training mechanics.,
Derby Stallion 96,Horse racing and breeding sim with deep stats and racing calendar.,
Derby Stallion 98,Updated version with new bloodlines and refined racing systems.,
Derby Stallion II,Improved sequel with better visuals and strategic barn management.,
Derby Stallion III,Expanded horse racing franchise with online features and in-depth racing systems.,
Desert Strike: Return to the Gulf,Isometric helicopter shooter with military missions set in the desert.,
Dezaemon BSX Version - BS-X Shooting,Customizable shooting game creator via Satellaview.,
Dharma Dojo,Martial arts themed beat‑’em‑up with dojo combat and spirit quests.,
Dig and Spike Volleyball,Arcade volleyball with fast action and simple controls.,
Dino Dinis Soccer,Soccer sim featuring Portuguese star Dino Dinis and realistic match play.,
DinoCity,Platformer featuring sibling dinosaurs on a rescue mission.,
Dirt Racer,Early 3D dirt-track racing with customizable vehicles.,
Dirt Trax FX,Off‑road racing with aerial tricks and multiple vehicle types.,
Do-Re-Mi Fantasy: Milon no Dokidoki Daibouken,Colorful RPG adventure with puzzle elements starring Milon.,
Dokapon 3-2-1 - Arashi wo Yobu Yujo,Party RPG where players swap roles between hero and saboteur.,
Dokapon Gaiden - Honoo no Audition,Tale-driven RPG with competitive war auditions and quirky minigames.,
Dolucky no A.League Soccer,Lighthearted soccer game with super-deformed player styles.,
Dolucky no Kusayakiu,Cartoon baseball game with eccentric characters and fun matchups.,
Dolucky no Puzzle Tour '94,Puzzle adventure with anthropomorphic animal teams and item collection.,
Donald Duck no Mahou no Boushi,Magical hat puzzle game starring Donald Duck exploring enchanted realms.,
Donkey Kong Country,Groundbreaking platformer with pre-rendered visuals and dynamic gameplay.,
Donkey Kong Country 2: Diddy's Kong Quest,"Direct sequel with new hero, deeper levels, and refined gameplay.",
The Chessmaster,Digital chess with tutorials and historic matches for all skill levels.,
The Combatribes,Beat‑’em‑up with street brawling and three selectable tough guys.,
The Death and Return of Superman,Side‑scrolling action where you find and clone the Man of Steel.,
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Platformer where Dixie and Kiddy Kong venture through new zones.,
Donkey Kong Country: Competition Edition,Enhanced version for contest showdowns and time attacks.,
Doom,Iconic first-person shooter with demon-slaying action and intense atmosphere.,
Doom Troopers,Gory run-and-gun shooter based on the Mutant Chronicles universe.,
Doomsday Warrior,1v1 fighting game with a dark sci-fi setting and unique transformation mechanics.,
Doraemon 2: Nobita no Toys Land Daibouken,Platformer where Doraemon and friends explore a magical toy world.,
Doraemon 3: Nobita to Toki no Hougyoku,Time-traveling RPG adventure with classic Doraemon humor.,
Doraemon 4: Nobita to Tsuki no Oukoku,Lunar kingdom quest filled with gadgets and turn-based battles.,
Doraemon: Nobita to Yousei no Kuni,Fantasy platformer where Nobita explores a fairyland to save the day.,
Dossun! Ganseki Battle,Puzzle strategy game with falling rocks and tactical block placing.,
Double Dragon V: The Shadow Falls,Fighting game spin-off of the beat-’em-up series with animated-style visuals.,
Doukyuusei 2,Dating sim visual novel with branching storylines and school life interactions.,
Down the World - Mervil's Ambition,Classic JRPG with high fantasy world-building and turn-based battles.,
Downtown Nekketsu Baseball Monogatari: Baseball de Shoubu Da! Kunio-kun,Kunio-kun baseball spinoff with over-the-top gameplay.,
Dr. Mario,Puzzle game where you eliminate viruses by matching colored capsules.,
Dragon Ball Z: Hyper Dimension,Technical fighter with smooth animation and faithful DBZ visuals.,
Dragon Ball Z: Super Butouden,2D fighting game with large sprites and ki-based combat.,
Dragon Ball Z: Super Butouden 2,"Sequel with new characters, improved speed, and dramatic story fights.",
Dragon Ball Z: Super Butouden 3,"Faster gameplay and new characters, but lacks story mode.",
Dragon Ball Z: Super Gokuden Kakusei-Hen,RPG-style retelling of Goku’s childhood adventures.,
Dragon Ball Z: Super Gokuuden Totsugeki Hen,Continuation of Goku’s journey through DBZ sagas in RPG format.,
Dragon Ball Z: Super Saiya Densetsu,Turn-based RPG covering the Saiyan and Namek arcs with card battle mechanics.,
Dragon Knight 4,Adult-themed RPG with strategic combat and anime-style visuals.,
Dragon Quest I & II,Classic Dragon Quest remakes with improved graphics and streamlined gameplay.,
Dragon Quest III: Soshite Densetsu e...,Remake of DQIII with updated visuals and rich class system.,
Dragon Quest V,Beloved JRPG spanning generations with monster recruitment and deep storytelling.,
Dragon Quest VI,"Large-scale RPG with class systems, dream worlds, and dual protagonists.",
Dragon Slayer: The Legend of Heroes,Early action-RPG with isometric views and fantasy storytelling.,
Dragon Slayer: The Legend of Heroes II,Sequel continuing the RPG saga with new quests and towns.,
Dragon View,Hybrid action RPG with side-scrolling combat and first-person exploration.,
Dragon's Earth,Strategy game with fantasy creatures and real-time movement.,
Dragon's Lair,Animated FMV-style platformer known for brutal difficulty and Don Bluth art.,
Dragon: The Bruce Lee Story,Fighting game based on Bruce Lee’s life and legend.,
Drakkhen,Early 3D RPG with a mysterious world and real-time combat.,
Dream Basketball - Dunk & Hoop,Basketball sim with arcade controls and team customization.,
Dream Maze - Kigurumi Daibouken,Puzzle-platformer in a bizarre dream world with costume-based abilities.,
Dream TV,Cooperative puzzle-action game where two players navigate surreal environments.,
Drift King: Shutokou Battle '94,Street racing sim with night courses and car tuning.,
Drift King: Shutokou Battle 2,"Sequel with better graphics, rival battles, and drifting mechanics.",
Dual Orb,Traditional JRPG with a world-saving quest and elemental-based magic system.,
Dual Orb II,Expanded sequel with deeper combat and improved visuals.,
Dun Quest - Majin Fuuin no Densetsu,Dungeon-crawling RPG with turn-based combat and elemental puzzles.,
Dungeon Master,First-person dungeon crawler with real-time combat and inventory-based puzzle solving.,
Dynamaite - The Las Vegas,Las Vegas-themed gambling and mini-game collection.,
Dynami Tracer,Top-down futuristic racer with time trial challenges and power-ups.,
Dynamic Stadium,Japanese baseball sim with realistic animations and player stats.,
E.V.O.: Search for Eden,Unique evolution-based action-RPG where you evolve through Earth's history.,
Earth Light,Sci-fi strategy game with grid-based tactical battles in space.,
Earth Light II - Luna Strike,"Sequel with new units, enhanced space combat, and branching campaigns.",
EarthBound,"Cult classic JRPG with quirky humor, modern setting, and psychic battles.",
Earthworm Jim,Wacky platformer with fluid animation and absurd humor.,
Earthworm Jim 2,Sequel with more varied levels and even zanier gameplay mechanics.,
Edono Kiba,Feudal Japan action game with stealth and ninja combat elements.,
Eek! The Cat,"Slapstick platformer based on the cartoon, focused on rescuing kittens.",
Eien no Filena,JRPG with a strong female lead and deep political fantasy setting.,
